Email,Status
ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O 250 3 WANT 800,not_reject
Just sleeping..and surfing,not_reject
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,not_reject
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,not_reject
Aiyah ok wat as long as got improve can already wat...,not_reject
"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",not_reject
Ok which your another number,not_reject
"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",not_reject
happened here while you were adventuring,not_reject
Compliments to you. Was away from the system. How your side.,not_reject
I think that tantrum's finished so yeah I'll be by at some point,not_reject
What about this one then.,not_reject
Its just the effect of irritation. Just ignore it,not_reject
"Total disappointment, when I texted you was the craziest shit got :(",not_reject
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,not_reject
I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,not_reject
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p3.99,not_reject
Going to join tomorrow.,not_reject
Thats cool. I want to please you...,not_reject
You are a big chic. Common. Declare,not_reject
No. I dont want to hear anything,not_reject
Can you pls send me that company name. In saibaba colany,not_reject
"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",not_reject
Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,not_reject
"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",not_reject
You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,not_reject
Oh... Okie lor...We go on sat... ,not_reject
Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,not_reject
"Just making dinner, you ?",not_reject
"It憇 reassuring, in this crazy world.",not_reject
I went to project centre,not_reject
Lol they were mad at first but then they woke up and gave in.,not_reject
"Machan you go to gym tomorrow,  i wil come late goodnight.",not_reject
I want to be inside you every night...,not_reject
God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,not_reject
What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,not_reject
Wait . I will msg after  &lt;#&gt;  min.,not_reject
"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",not_reject
Apo all other are mokka players only,not_reject
PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,not_reject
Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,not_reject
Now get step 2 outta the way. Congrats again.,not_reject
Why did I wake up on my own &gt;:(,not_reject
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",not_reject
Yes... I trust u to buy new stuff ASAP so I can try it out,not_reject
"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",not_reject
"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",not_reject
I think if he rule tamilnadu..then its very tough for our people.,not_reject
Marvel Mobile Play the official Ultimate Spider-man game (4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,not_reject
U studying in sch or going home? Anyway i'll b going 2 sch later.,not_reject
K. I will sent it again,not_reject
Oh thanks a lot..i already bought 2 eggs ..,not_reject
K. I will sent it again,not_reject
2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,not_reject
Ofcourse I also upload some songs,not_reject
Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,not_reject
", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",not_reject
So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,not_reject
URGENT We are trying to contact you Last weekends draw shows u have won a 1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,not_reject
Shall call now dear having food,not_reject
Have you seen who's back at Holby?!,not_reject
Really do hope the work doesnt get stressful. Have a gr8 day.,not_reject
No probably  &lt;#&gt; %.,not_reject
What Today-sunday..sunday is holiday..so no work..,not_reject
Yes princess! I want to please you every night. Your wish is my command...,not_reject
Dhoni have luck to win some big title.so we will win:),not_reject
Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,not_reject
Ok lor  reaching then message me.,not_reject
Well obviously not because all the people in my cool college life went home ;_;,not_reject
Yup,not_reject
I thought slide is enough.,not_reject
Ok lor.,not_reject
"URGENT! Last weekend's draw shows that you have won 1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",not_reject
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth 33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,not_reject
http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueC C Ringtone,not_reject
Shall I bring us a bottle of wine to keep us amused? Only joking! I憀l bring one anyway,not_reject
I will treasure every moment we spend together...,not_reject
U GOIN OUT 2NITE?,not_reject
Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,not_reject
Ok i thk i got it. Then u wan me 2 come now or wat?,not_reject
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,not_reject
If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,not_reject
"Sorry, I'll call later",not_reject
Arun can u transfr me d amt,not_reject
For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,not_reject
Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,not_reject
Im just wondering what your doing right now?,not_reject
Except theres a chick with huge boobs.,not_reject
What???? Hello wats talks email address?,not_reject
Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,not_reject
Sac needs to carry on:),not_reject
"Latest News! Police station toilet stolen, cops have nothing to go on!",not_reject
"aight we can pick some up, you open before tonight?",not_reject
So that takes away some money worries,not_reject
I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,not_reject
"And that's fine, I got enough bud to last most of the night at least",not_reject
Good morning. At the repair shop--the ONLY reason i'm up at this hour.,not_reject
You have won a guaranteed 32000 award or maybe even 1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,not_reject
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",not_reject
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",not_reject
Thank you. do you generally date the brothas?,not_reject
Hey i've booked the 2 lessons on sun liao...,not_reject
What are youdoing later? Sar xxx,not_reject
Am slow in using biola's fne,not_reject
Mode men or have you left.,not_reject
I'm wif him now buying tix lar...,not_reject
Jesus armand really is trying to tell everybody he can find,not_reject
You're gonna have to be way more specific than that,not_reject
Thanx a lot 4 ur help!,not_reject
If I was I wasn't paying attention,not_reject
"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",not_reject
"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",not_reject
You didnt complete your gist oh.,not_reject
Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,not_reject
Oh yeah! And my diet just flew out the window,not_reject
Otherwise had part time job na-tuition..,not_reject
U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,not_reject
"Sorry, I'll call later",not_reject
Ok k..sry i knw 2 siva..tats y i askd..,not_reject
"Hi elaine, is today's meeting confirmed?",not_reject
I dont know oh. Hopefully this month.,not_reject
I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),not_reject
So how are you really. What are you up to. How's the masters. And so on.,not_reject
Nope. I just forgot. Will show next week,not_reject
My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,not_reject
You should get more chicken broth if you want ramen unless there's some I don't know about,not_reject
East coast,not_reject
Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,not_reject
Gr8. So how do you handle the victoria island traffic. Plus when's the album due,not_reject
I ask if u meeting da ge tmr nite...,not_reject
"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",not_reject
There is a first time for everything :),not_reject
... Are you in the pub?,not_reject
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if  leaving earlier or wat mah cos mayb  haf to walk v far...,not_reject
Dear are you angry i was busy dear,not_reject
So how many days since then?,not_reject
Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,not_reject
So gd got free ice cream... I oso wan...,not_reject
Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,not_reject
Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,not_reject
HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!?????ud evening...,not_reject
And he's apparently bffs with carly quick now,not_reject
Hi. Hope you had a good day. Have a better night.,not_reject
That's necessarily respectful,not_reject
As in i want custom officer discount oh.,not_reject
Dunno lei shd b driving lor cos i go sch 1 hr oni.,not_reject
I dont know exactly could you ask chechi.,not_reject
"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",not_reject
Ooooooh I forgot to tell u I can get on yoville on my phone,not_reject
Watching ajith film ah?,not_reject
Nt joking seriously i told,not_reject
Ok.ok ok..then..whats ur todays plan,not_reject
NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,not_reject
I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,not_reject
I'm at work. Please call,not_reject
How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,not_reject
How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.I抦 knackered and i抦 dreading work tonight. What are thou upto tonight. X,not_reject
Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,not_reject
"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",not_reject
You have 1 new message. Call 0207-083-6089,not_reject
Its sunny in california. The weather's just cool,not_reject
Somebody set up a website where you can play hold em using eve online spacebucks,not_reject
"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or 250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",not_reject
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,not_reject
I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,not_reject
I cant pick the phone right now. Pls send a message,not_reject
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,not_reject
"K I'll head out in a few mins, see you there",not_reject
"Ok., is any problem to u frm him? Wats matter?",not_reject
"Lol, oh you got a friend for the dog ?",not_reject
dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,not_reject
Hi mom we might be back later than  &lt;#&gt; ,not_reject
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,not_reject
Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,not_reject
A 400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a 400 reward. Just call 09066380611,not_reject
Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),not_reject
"I think your mentor is , but not 100 percent sure.",not_reject
I'm in inside office..still filling forms.don know when they leave me.,not_reject
Yep get with the program. You're slacking.,not_reject
"Hey, iouri gave me your number, I'm wylie, ryan's friend",not_reject
This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,not_reject
Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,not_reject
Ok,not_reject
Tell me something. Thats okay.,not_reject
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",not_reject
Aiyo cos i sms  then  neva reply so i wait 4  to reply lar. I tot  havent finish ur lab wat.,not_reject
Guai...  shd haf seen him when he's naughty...  so free today? Can go jogging...,not_reject
Good morning princess! Have a great day!,not_reject
Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,not_reject
No one interested. May be some business plan.,not_reject
I'm home...,not_reject
Do I? I thought I put it back in the box,not_reject
No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,not_reject
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",not_reject
Wat  doing now?,not_reject
When you guys planning on coming over?,not_reject
No go. No openings for that room 'til after thanksgiving without an upcharge.,not_reject
"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",not_reject
And of course you should make a stink!,not_reject
Are u awake? Is there snow there?,not_reject
You'd like that wouldn't you? Jerk!,not_reject
So when do you wanna gym?,not_reject
My birthday is on feb  &lt;#&gt;  da. .,not_reject
Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,not_reject
No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,not_reject
"Garbage bags, eggs, jam, bread, hannaford wheat chex",not_reject
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",not_reject
I think steyn surely get one wicket:),not_reject
X course it 2yrs. Just so her messages on messenger lik you r sending me,not_reject
Dude im no longer a pisces. Im an aquarius now.,not_reject
"Sir, waiting for your letter.",not_reject
Sweet heart how are you?,not_reject
Wishing you a wonderful week.,not_reject
What makes you most happy?,not_reject
"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",not_reject
"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",not_reject
Aah bless! How's your arm?,not_reject
"Thanks, I'll keep that in mind",not_reject
Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,not_reject
But we havent got da topic yet rite?,not_reject
Kothi print out marandratha.,not_reject
"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",not_reject
"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",not_reject
Jus finish watching tv... U?,not_reject
Hahaha..use your brain dear,not_reject
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX 1.50,not_reject
My sister going to earn more than me da.,not_reject
Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,not_reject
K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,not_reject
"yeah, that's what I was thinking",not_reject
"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",not_reject
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,not_reject
What you did in  leave.,not_reject
Ill be at yours in about 3 mins but look out for me,not_reject
Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?,not_reject
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,not_reject
"I can. But it will tell quite long, cos i haven't finish my film yet...",not_reject
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,not_reject
At WHAT TIME should i come tomorrow,not_reject
I can't make it tonight,not_reject
Well good morning mr . Hows london treatin' ya treacle?,not_reject
I.ll hand her my phone to chat wit u,not_reject
My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,not_reject
Are u coming to the funeral home,not_reject
Alex says he's not ok with you not being ok with it,not_reject
XMAS iscoming & ur awarded either 500 CD gift vouchers & free entry 2 r 100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,not_reject
I donno its in your genes or something,not_reject
Urgent! Please call 09061213237 from landline. 5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,not_reject
Xy trying smth now. U eat already? We havent...,not_reject
Dear where you. Call me,not_reject
Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,not_reject
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),not_reject
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,not_reject
I'm still pretty weak today .. Bad day ?,not_reject
"URGENT! You have won a 1 week FREE membership in our 100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",not_reject
Sent me ur email id soon,not_reject
"Yeah, probably here for a while",not_reject
I have gone into get info bt dont know what to do,not_reject
"And how you will do that, princess? :)",not_reject
"Vikky, come around  &lt;TIME&gt; ..",not_reject
Helloooo... Wake up..! "Sweet" "morning" "welcomes" "You" "Enjoy" "This Day" "with full of joy".. "GUD MRNG".,not_reject
URGENT! Your Mobile number has been awarded with a 2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,not_reject
"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",not_reject
Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,not_reject
Oh yeah clearly it's my fault,not_reject
"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",not_reject
Its too late:)but its k.wish you the same.,not_reject
"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",not_reject
So u wan 2 come for our dinner tonight a not?,not_reject
Did u fix the teeth?if not do it asap.ok take care.,not_reject
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",not_reject
"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx",not_reject
Anything lar then  not going home 4 dinner?,not_reject
HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,not_reject
Gud ni8.swt drms.take care,not_reject
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",not_reject
Pls speak with me. I wont ask anything other then you friendship.,not_reject
Did you see that film:),not_reject
I absolutely LOVE South Park! I only recently started watching the office.,not_reject
If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,not_reject
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,not_reject
1 in cbe. 2 in chennai.,not_reject
"As usual..iam fine, happy &amp; doing well..:)",not_reject
Well she's in for a big surprise!,not_reject
Ok... Sweet dreams...,not_reject
I didnt get anything da,not_reject
Please tell me not all of my car keys are in your purse,not_reject
You do your studies alone without anyones help. If you cant no need to study.,not_reject
"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",not_reject
Urgent! Please call 09061213237 from a landline. 5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,not_reject
"K I'm leaving soon, be there a little after 9",not_reject
U come n search tat vid..not finishd..,not_reject
Gud ni8 dear..slp well..take care..swt dreams..Muah..,not_reject
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,not_reject
Thank you princess! I want to see your nice juicy booty...,not_reject
thanks for the temales it was wonderful. Thank. Have a great week.,not_reject
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,not_reject
Hmm thinking lor...,not_reject
Its a part of checking IQ,not_reject
"Gud gud..k, chikku tke care.. sleep well gud nyt",not_reject
"Jay wants to work out first, how's 4 sound?",not_reject
Yeah I can still give you a ride,not_reject
Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,not_reject
Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,not_reject
Ok cool. See ya then.,not_reject
Hey what how about your project. Started aha da.,not_reject
YOU ARE CHOSEN TO RECEIVE A 350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,not_reject
I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,not_reject
"Nope, I'm still in the market",not_reject
It means u could not keep ur words.,not_reject
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,not_reject
I re-met alex nichols from middle school and it turns out he's dealing!,not_reject
Prabha..i'm soryda..realy..frm heart i'm sory,not_reject
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,not_reject
OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,not_reject
If I die I want u to have all my stuffs.,not_reject
5 nights...We nt staying at port step liao...Too ex,not_reject
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",not_reject
I have to take exam with in march 3,not_reject
Pls she needs to dat slowly or she will vomit more.,not_reject
I accidentally brought em home in the box,not_reject
Well thats nice. Too bad i cant eat it,not_reject
I am late. I will be there at,not_reject
I keep ten rs in my shelf:) buy two egg.,not_reject
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,not_reject
3 pa but not selected.,not_reject
K.k.how is your business now?,not_reject
It is only yesterday true true.,not_reject
Dai i downloaded but there is only exe file which i can only run that exe after installing.,not_reject
"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",not_reject
Hi.what you think about match?,not_reject
"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",not_reject
I will reach ur home in  &lt;#&gt;  minutes,not_reject
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,not_reject
How come she can get it? Should b quite diff to guess rite...,not_reject
Me fine..absolutly fine,not_reject
WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,not_reject
"YOU VE WON! Your 4* Costa Del Sol Holiday or 5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost1.50/pm, Max10mins",not_reject
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,not_reject
Ugh my leg hurts. Musta overdid it on mon.,not_reject
She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,not_reject
I like cheap! But i憁 happy to splash out on the wine if it makes you feel better..,not_reject
"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",not_reject
Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,not_reject
Ok... Take ur time n enjoy ur dinner...,not_reject
"It's wylie, you in tampa or sarasota?",not_reject
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,not_reject
"Sorry, I'll call later",not_reject
Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,not_reject
